2	-0.420464	0.345761	2.2886
2	-0.422059	0.346997	2.29015
2	-0.424482	0.347127	2.29247
2	-0.433175	0.347257	2.29876
2	-0.445697	0.347644	2.30966
2	-0.456303	0.347632	2.31882
2	-0.469352	0.346643	2.33011
2	-0.479178	0.346181	2.33965
2	-0.486126	0.342863	2.35114
2	-0.492487	0.34002	2.36323
2	-0.497437	0.338391	2.3746
2	-0.500752	0.337445	2.38854
2	-0.502111	0.334389	2.41341
2	-0.502593	0.331414	2.43131
2	-0.501658	0.326951	2.44795
2	-0.500707	0.323934	2.45991
2	-0.499757	0.321572	2.47172
2	-0.498654	0.320059	2.48212
2	-0.497253	0.320461	2.49424
2	-0.495148	0.324615	2.51042
2	-0.491938	0.330154	2.52428
2	-0.487868	0.33616	2.5376
2	-0.484396	0.340487	2.54723
2	-0.481016	0.344457	2.55558
2	-0.477313	0.347544	2.56352
2	-0.473963	0.348937	2.57006
2	-0.467604	0.349585	2.57777
2	-0.457527	0.349031	2.58752
2	-0.447036	0.348031	2.59633
2	-0.437493	0.346987	2.60207
2	-0.430801	0.345788	2.60549
2	-0.419889	0.34641	2.60909
2	-0.410802	0.346865	2.61195
2	-0.402288	0.346836	2.61417
2	-0.392302	0.346809	2.61628
2	-0.38572	0.346758	2.61737
2	-0.379699	0.346899	2.61797
2	-0.370942	0.347663	2.61995
2	-0.364663	0.347699	2.62183
2	-0.359001	0.347605	2.62376
2	-0.353487	0.348361	2.62532
2	-0.347937	0.349123	2.62674
2	-0.335619	0.350439	2.62826
2	-0.322711	0.349487	2.62957
2	-0.31124	0.348622	2.63039
2	-0.296669	0.347402	2.63055
2	-0.283874	0.346848	2.63005
2	-0.271596	0.345398	2.6289
2	-0.259275	0.345039	2.62723
2	-0.244994	0.343288	2.62313
2	-0.233789	0.341969	2.61934
2	-0.222138	0.341422	2.61354
2	-0.210492	0.342025	2.60582
2	-0.201802	0.341918	2.59986
2	-0.188816	0.337869	2.58869
2	-0.172574	0.335426	2.57149
2	-0.157976	0.333631	2.55142
2	-0.145483	0.331579	2.53085
2	-0.134503	0.329421	2.51269
2	-0.12256	0.326491	2.49127
2	-0.111187	0.322859	2.46893
2	-0.0980677	0.319715	2.44461
